"Metric","Value"
"Avg sampled domains",88
"Avg corr(POV, INCO)",-0.605743367320225
"Mean MSE ratio: Multi / Uni (Gaussian)",0.393062607561552
"Mean MSE ratio: Multi / Uni (Binomial)",1.03901554732442
"Mean MSE ratio: Uni / Direct (Gaussian)",0.00722475151927411
"Mean MSE ratio: Uni / Direct (Binomial)",0.385025026347099
"Mean IS ratio: Multi / Uni (Gaussian)",0.590482196603641
"Mean IS ratio: Multi / Uni (Binomial)",1.05138663908684
"Mean CR: Multi (Gaussian)",0.882954545454545
"Mean CR: Uni (Gaussian)",0.8375
"Mean CR: Multi (Binomial)",0.851136363636364
"Mean CR: Uni (Binomial)",0.852272727272727
